85,"Akureyri, rafveita",Norðurorka,100,Varaafl,960,NULL,NULL,NULL,1,539320,576010
86,Bakkafjörður,RARIK,100,Varaafl,781,NULL,NULL,NULL,1,690075,621890
87,Bíldudalur,Orkubú Vestfjarða,100,Varaafl,1200,NULL,NULL,NULL,1,288640,584305
88,Bolungarvík,Orkubú Vestfjarða,100,Varaafl,3310,NULL,NULL,NULL,1,308380,635410
89,Búðardalur,RARIK,100,Varaafl,551,NULL,NULL,NULL,1,370150,514665
90,Drangsnes,Orkubú Vestfjarða,100,Varaafl,470,NULL,NULL,NULL,1,387580,578965
91,Fáskrúðsfjörður,RARIK,100,Varaafl,2599,NULL,NULL,NULL,1,733350,501890
92,Flateyri,Orkubú Vestfjarða,100,Varaafl,420,NULL,NULL,NULL,1,295725,624575
93,Grundarfjörður,RARIK,100,Varaafl,912,NULL,NULL,NULL,1,298580,497955
94,Hofsós,RARIK,100,Varaafl,800,NULL,NULL,2014,0,481655,600070
95,Hólmavík,Orkubú Vestfjarða,100,Varaafl,1400,NULL,NULL,NULL,1,376380,580760
96,Hrísey,RARIK,100,Varaafl,551,NULL,NULL,NULL,1,528035,609695
97,Húsavík,RARIK,100,Varaafl,640,NULL,NULL,NULL,1,576000,616640
98,"Ísafjörður, Mjósund",Orkubú Vestfjarða,100,Varaafl,4300,NULL,NULL,NULL,1,313470,625890
99,Kirkjubæjarklaustur,RARIK,100,Varaafl,729,NULL,NULL,NULL,1,547580,366100
100,Krísuvík,HS Veitur,100,Varaafl,48,NULL,NULL,NULL,1,349420,379490
101,Mjóifjörður,RARIK,100,Varaafl,238,NULL,NULL,NULL,1,742500,532745
102,Neskaupstaður,RARIK,100,Varaafl,6094,NULL,NULL,NULL,1,746375,525750
103,Ólafsvík,RARIK,100,Varaafl,4178,NULL,NULL,NULL,1,278165,495745
104,Patreksfjörður,Orkubú Vestfjarða,100,Varaafl,4300,NULL,NULL,NULL,1,271485,574785
105,Raufarhöfn,RARIK,100,Varaafl,1127,NULL,NULL,NULL,1,635910,665685
