Nafn,Númer,Greiningartimi,Spatimi,Villa,Vindhradi (m/s),Vindatt,Hiti,Veður
Akureyri,422,8/17/2020 18:00,8/19/2020 8:00,,3,SSA,6,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 9:00,,3,SA,7,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 10:00,,3,SA,8,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 11:00,,4,SA,9,Skýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 12:00,,4,ASA,10,Léttskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 13:00,,4,ASA,11,Léttskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 14:00,,4,ASA,11,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 15:00,,3,ASA,11,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 16:00,,3,ASA,11,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 17:00,,4,ASA,11,Skýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 18:00,,3,ASA,11,Léttskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 19:00,,3,ASA,11,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 20:00,,3,ASA,10,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 21:00,,2,SA,9,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 22:00,,2,SA,8,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 23:00,,3,SSA,6,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 0:00,,3,S,6,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 1:00,,3,SSA,5,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 2:00,,3,S,5,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 3:00,,3,S,4,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 4:00,,3,S,4,Heiðskírt
