Ar,tegund,SU,VE,VF,NV,NE,AU,Samtals
1998,Minkur,1304,2397,900,1014,1254,911,7780
1998,Rauðhöfði,262,198,7,45,82,74,668
1998,Refur,507,1255,937,827,314,683,4523
1998,Rita,263,538,252,289,39,52,1433
1998,Rjúpa,14544,22580,14879,31293,27623,48269,159188
1998,Silfurmáfur,397,1709,838,621,301,4002,7868
1998,Sílamáfur,3070,25759,1737,1547,699,1218,34030
1998,Skúfönd,107,10,10,9,22,45,203
1998,Stokkönd,3726,3150,1143,1274,617,1079,10989
1998,Stuttnefja,865,3155,1738,5226,1546,5965,18495
1998,Súluungar,69,5,4,517,5,90,690
1998,Svartbakur,3754,16682,3280,2944,1818,3864,32342
1998,Teista,233,1128,1062,533,231,689,3876
1998,Toppskarfur,94,1280,599,84,41,159,2257
1998,Toppönd,99,141,91,76,131,73,611
1998,Urtönd,526,221,22,117,92,121,1099
